"Unique ID","Indicator ID","Name","Measure","Measure Info","Geo Type Name","Geo Join ID","Geo Place Name","Time Period","Start_Date","Data Value","Message"
"874416","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","102","Northeast Bronx","Summer 2023","06/01/2023","9.237951308",
"877080","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","501502","Northern SI","Summer 2023","06/01/2023","12.52282979",
"876849","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","2","Brooklyn","Summer 2023","06/01/2023","12.52221569",
"874599","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","204","Highbridge and Concourse (CD4)","Summer 2023","06/01/2023","9.2882538",
"877221","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","402","Woodside and Sunnyside (CD2)","Summer 2023","06/01/2023","16.03132644",
"874903","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","306","Park Slope and Carroll Gardens (CD6)","Summer 2023","06/01/2023","9.21308071",
"878159","386","Ozone (O3)","Mean","ppb","CD","112","Washington Heights and Inwood (CD12)","Summer 2023","06/01/2023","29.66140778",
"874335","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","202","Downtown - Heights - Slope","Summer 2023","06/01/2023","9.205974877",
"876903","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","208","Canarsie - Flatlands","Summer 2023","06/01/2023","12.24185059",
"876966","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","408","Jamaica","Summer 2023","06/01/2023","11.25823112",
"874544","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","404406","Bayside Little Neck-Fresh Meadows","Summer 2023","06/01/2023","8.701650681",
"874404","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","202","Downtown - Heights - Slope","Summer 2023","06/01/2023","9.205974877",
"874825","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","402","Woodside and Sunnyside (CD2)","Summer 2023","06/01/2023","9.594697694",
"874482","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","304","Upper West Side","Summer 2023","06/01/2023","9.178931606",
"878207","386","Ozone (O3)","Mean","ppb","UHF42","503","Willowbrook","Summer 2023","06/01/2023","34.65271795",
"874562","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","408","Jamaica","Summer 2023","06/01/2023","8.721684896",
"874467","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","309","Union Square - Lower East Side","Summer 2023","06/01/2023","9.24061011",
"874855","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","412","Jamaica and Hollis (CD12)","Summer 2023","06/01/2023","8.695098537",
"874918","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","311","Bensonhurst (CD11)","Summer 2023","06/01/2023","8.452024043",
"876864","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","102","Northeast Bronx","Summer 2023","06/01/2023","11.62453778",
"876960","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","406","Fresh Meadows","Summer 2023","06/01/2023","10.7039473",
"878243","386","Ozone (O3)","Mean","ppb","UHF42","105","Crotona -Tremont","Summer 2023","06/01/2023","32.15024536",
"877116","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","109","Morningside Heights and Hamilton Heights (CD9)","Summer 2023","06/01/2023","13.26989981",
