Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year_Extracted,g_q1,g_q3,g_iqr,Is_Outlier
874416,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,102,Northeast Bronx,Summer 2023,2023-06-01,9.237951308,2023,7.35,10.2425,2.8925,0
877080,375,Nitrogen dioxide (NO2),Mean,ppb,NA,501502,Northern SI,Summer 2023,2023-06-01,12.52282979,2023,15.75,24.1425,8.392499999999998,0
876849,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,Brooklyn,Summer 2023,2023-06-01,12.52221569,2023,15.75,24.1425,8.392499999999998,0
874599,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01,9.2882538,2023,7.35,10.2425,2.8925,0
877221,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01,16.03132644,2023,15.75,24.1425,8.392499999999998,0
874903,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2023,2023-06-01,9.21308071,2023,7.35,10.2425,2.8925,0
878159,386,Ozone (O3),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2023,2023-06-01,29.66140778,2023,28.98,33,4.02,0
874335,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202,Downtown - Heights - Slope,Summer 2023,2023-06-01,9.205974877,2023,7.35,10.2425,2.8925,0
876903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,2023-06-01,12.24185059,2023,15.75,24.1425,8.392499999999998,0
876966,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2023,2023-06-01,11.25823112,2023,15.75,24.1425,8.392499999999998,0
874544,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,404406,Bayside Little Neck-Fresh Meadows,Summer 2023,2023-06-01,8.701650681,2023,7.35,10.2425,2.8925,0
874404,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,202,Downtown - Heights - Slope,Summer 2023,2023-06-01,9.205974877,2023,7.35,10.2425,2.8925,0
874825,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01,9.594697694,2023,7.35,10.2425,2.8925,0
874482,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2023,2023-06-01,9.178931606,2023,7.35,10.2425,2.8925,0
878207,386,Ozone (O3),Mean,ppb,UHF42,503,Willowbrook,Summer 2023,2023-06-01,34.65271795,2023,28.98,33,4.02,0
874562,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,408,Jamaica,Summer 2023,2023-06-01,8.721684896,2023,7.35,10.2425,2.8925,0
874467,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2023,2023-06-01,9.24061011,2023,7.35,10.2425,2.8925,0
874855,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01,8.695098537,2023,7.35,10.2425,2.8925,0
874918,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,311,Bensonhurst (CD11),Summer 2023,2023-06-01,8.452024043,2023,7.35,10.2425,2.8925,0
876864,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2023,2023-06-01,11.62453778,2023,15.75,24.1425,8.392499999999998,0
876960,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,406,Fresh Meadows,Summer 2023,2023-06-01,10.7039473,2023,15.75,24.1425,8.392499999999998,0
878243,386,Ozone (O3),Mean,ppb,UHF42,105,Crotona -Tremont,Summer 2023,2023-06-01,32.15024536,2023,28.98,33,4.02,0
877116,375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01,13.26989981,2023,15.75,24.1425,8.392499999999998,0
874505,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01,9.250161362,2023,7.35,10.2425,2.8925,0
874428,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502,Stapleton - St. George,Summer 2023,2023-06-01,8.449108269,2023,7.35,10.2425,2.8925,0
877041,375,Nitrogen dioxide (NO2),Mean,ppb,NA,304,Upper West Side,Summer 2023,2023-06-01,15.61819912,2023,15.75,24.1425,8.392499999999998,0
874882,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,211,Morris Park and Bronxdale (CD11),Summer 2023,2023-06-01,9.232350014,2023,7.35,10.2425,2.8925,0
878125,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2023,2023-06-01,41.2931847,2023,28.98,33,4.02,1
874547,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01,9.223447992,2023,7.35,10.2425,2.8925,0
877005,375,Nitrogen dioxide (NO2),Mean,ppb,NA,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01,12.30403871,2023,15.75,24.1425,8.392499999999998,0
877047,375,Nitrogen dioxide (NO2),Mean,ppb,NA,402,West Queens,Summer 2023,2023-06-01,15.07775098,2023,15.75,24.1425,8.392499999999998,0
878179,386,Ozone (O3),Mean,ppb,NA,410,Rockaways,Summer 2023,2023-06-01,43.33287409,2023,28.98,33,4.02,1
878176,386,Ozone (O3),Mean,ppb,NA,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01,30.65430801,2023,28.98,33,4.02,0
876897,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Summer 2023,2023-06-01,11.74380759,2023,15.75,24.1425,8.392499999999998,0
877200,375,Nitrogen dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2023,2023-06-01,8.914378523,2023,15.75,24.1425,8.392499999999998,0
876906,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,12.10054339,2023,15.75,24.1425,8.392499999999998,0
877065,375,Nitrogen dioxide (NO2),Mean,ppb,NA,410,Rockaways,Summer 2023,2023-06-01,6.471941886,2023,15.75,24.1425,8.392499999999998,0
874586,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,9.20653142,2023,7.35,10.2425,2.8925,0
874526,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01,9.640345698,2023,7.35,10.2425,2.8925,0
878163,386,Ozone (O3),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01,31.22267347,2023,28.98,33,4.02,0
874876,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01,9.278967207,2023,7.35,10.2425,2.8925,0
876852,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01,16.74988488,2023,15.75,24.1425,8.392499999999998,0
