Year_Extracted,Geo Place Name,Name,Data Value
2023,Downtown - Heights - Slope,Fine particles (PM 2.5),9.205974877
2023,Canarsie - Flatlands,Nitrogen dioxide (NO2),12.24185059
2023,Jamaica,Nitrogen dioxide (NO2),11.25823112
2023,Upper West Side,Fine particles (PM 2.5),9.178931606
2023,Willowbrook,Ozone (O3),34.65271795
2023,Union Square - Lower East Side,Fine particles (PM 2.5),9.24061011
2023,Northeast Bronx,Nitrogen dioxide (NO2),11.62453778
2023,Fresh Meadows,Nitrogen dioxide (NO2),10.7039473
2023,Crotona -Tremont,Ozone (O3),32.15024536
2023,Stapleton - St. George,Fine particles (PM 2.5),8.449108269
2023,Borough Park,Nitrogen dioxide (NO2),11.74380759
2023,Bensonhurst - Bay Ridge,Nitrogen dioxide (NO2),12.10054339
2023,Sunset Park,Fine particles (PM 2.5),9.149134113
2023,Upper East Side,Ozone (O3),31.2445346
2023,East Harlem,Ozone (O3),32.00898429
2023,Port Richmond,Ozone (O3),32.56097611
2023,Greenpoint,Nitrogen dioxide (NO2),14.95173654
2023,Jamaica,Fine particles (PM 2.5),8.721661525
2023,Greenpoint,Ozone (O3),33.7542222
2023,Kingsbridge - Riverdale,Ozone (O3),29.39652856
2023,Bayside - Little Neck,Fine particles (PM 2.5),8.719524695
2023,Kingsbridge - Riverdale,Fine particles (PM 2.5),9.265788318
2023,Williamsburg - Bushwick,Ozone (O3),35.49941831
2023,Southeast Queens,Ozone (O3),38.18201497
2023,Williamsburg - Bushwick,Fine particles (PM 2.5),9.266873894
2023,Lower Manhattan,Fine particles (PM 2.5),9.185954859
2023,Lower Manhattan,Nitrogen dioxide (NO2),19.23269501
2023,Greenwich Village - SoHo,Nitrogen dioxide (NO2),20.33316087
2023,Union Square - Lower East Side,Nitrogen dioxide (NO2),16.5909254
2023,Pelham - Throgs Neck,Nitrogen dioxide (NO2),12.06848595
2023,West Queens,Fine particles (PM 2.5),9.23668133
2023,Bayside - Little Neck,Nitrogen dioxide (NO2),9.624486798
2023,Upper West Side,Nitrogen dioxide (NO2),15.61856373
2023,Greenwich Village - SoHo,Fine particles (PM 2.5),9.568039799
2023,Gramercy Park - Murray Hill,Fine particles (PM 2.5),9.463103294
2023,Ridgewood - Forest Hills,Ozone (O3),35.74608194
2023,Kingsbridge - Riverdale,Nitrogen dioxide (NO2),13.0538783
2023,Pelham - Throgs Neck,Ozone (O3),34.91689947
2023,East New York,Ozone (O3),36.31450852
2023,Flushing - Clearview,Fine particles (PM 2.5),8.899225982
2023,East New York,Fine particles (PM 2.5),8.878918851
2023,Rockaways,Nitrogen dioxide (NO2),6.471941886
2023,Central Harlem - Morningside Heights,Ozone (O3),31.47180591
2023,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),13.24169233
2023,Chelsea - Clinton,Ozone (O3),28.35317493
2023,East Harlem,Fine particles (PM 2.5),9.187970378
2023,South Beach - Tottenville,Fine particles (PM 2.5),8.221625406
2023,Bedford Stuyvesant - Crown Heights,Ozone (O3),36.15812507
2023,Southwest Queens,Nitrogen dioxide (NO2),11.94701212
2023,Sunset Park,Ozone (O3),34.50967942
2023,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),12.30403871
2023,Sunset Park,Nitrogen dioxide (NO2),14.78195865
2023,Rockaways,Ozone (O3),43.33287409
2023,Upper East Side,Nitrogen dioxide (NO2),15.94308836
